date,China,Japan,Malaysia,Singapore,USA,Total
2011,3.5,4.33,4,4.75,4.5,4.35
2012,4.42,4.17,4.21,4.08,4.05,4.13
2013,4.39,4.27,4.33,4.14,4.38,4.19
2014,4.37,4.19,4.42,4.23,4.33,4.28
2015,4.33,4.17,4.18,4.16,4.52,4.26
