date,Japan,USA,China,Russia,Singapore,Total
2011,4.18,4.06,4.2,0,4,4.04
2012,3.97,4.32,4.3,4.6,4.11,4.15
2013,3.96,4.32,4.21,4.38,3.9,4.18
2014,4.09,4.45,4.22,4.6,4,4.21
2015,4.05,4.44,4.16,4.61,4.12,4.25
