date,Japan,USA,China,Russia,Singapore,Total
2011,4.09,4.5,4.17,5,4.67,4.17
2012,3.85,3.88,4.29,4.88,4.21,4.13
2013,3.86,4.15,4.36,4.48,4.26,4.26
2014,3.91,4.16,4.26,4.42,4.26,4.25
2015,4.01,4.29,4.16,4.71,4.16,4.23
