date,USA,Japan,UK,Austrailia,Russia,Total
2011,4.63,4.29,5,0,0,4.42
2012,4.37,4.33,4.82,4.55,5,4.44
2013,4.75,4.28,4.61,4.62,4.38,4.58
2014,4.79,4.24,4.62,4.79,4.64,4.64
2015,4.7,4,4.71,4.59,4.66,4.61
