date,Japan,USA,China,Russia,Singapore,Total
2011,4.12,4.44,3.57,5,3.71,4.01
2012,4.11,4.49,4.22,5,3.61,4.2
2013,4.38,4.38,4.11,4.48,4.26,4.34
2014,4.2,4.42,4.04,4.58,3.9,4.25
2015,4.22,4.51,4.06,4.57,4.12,4.33
